,1,"Bitcoin
BTC","$29,399.49",0.04%,0.54%,0.06%,"$569,330,235,391","$17,386,641,703
591,748 BTC","19,365,312 BTC",,
,2,"Ethereum
ETH","$1,965.13",0.18%,3.47%,3.36%,"$236,517,178,371","$10,242,246,141
5,216,728 ETH","120,357,219 ETH",,
,3,"Tether
USDT",$1.00,0.01%,0.04%,0.01%,"$82,159,089,503","$30,223,276,233
30,193,688,225 USDT","82,078,431,886 USDT",,
,4,"BNB
BNB",$325.69,0.07%,0.02%,0.69%,"$50,763,065,715","$532,695,208
1,636,256 BNB","155,861,703 BNB",,
,5,"USD Coin
USDC",$0.9999,0.01%,0.01%,0.02%,"$30,389,651,967","$4,160,105,540
4,160,393,837 USDC","30,391,851,705 USDC",,
,6,"XRP
XRP",$0.4645,0.01%,0.28%,3.11%,"$24,080,376,736","$814,278,854
1,753,954,134 XRP","51,837,820,505 XRP",,
,7,"Cardano
ADA",$0.3907,0.03%,0.25%,3.42%,"$13,609,168,933","$222,175,613
569,245,451 ADA","34,831,018,275 ADA",,
,8,"Dogecoin
DOGE",$0.07911,0.17%,0.45%,2.24%,"$11,013,938,695","$348,261,117
4,404,379,068 DOGE","139,228,486,384 DOGE",,
,9,"Polygon
MATIC",$0.9866,0.29%,0.17%,1.88%,"$9,125,776,215","$364,572,291
369,829,324 MATIC","9,249,469,069 MATIC",,
,10,"Solana
SOL",$22.68,0.34%,3.98%,2.57%,"$8,945,623,901","$438,964,022
19,350,846 SOL","394,367,424 SOL",,
,11,"Polkadot
DOT",$5.81,0.39%,1.29%,2.94%,"$6,858,943,752","$133,985,000
23,067,590 DOT","1,180,988,468 DOT",,
,12,"Litecoin
LTC",$87.58,0.15%,0.80%,2.58%,"$6,385,142,491","$419,129,160
4,785,485 LTC","72,858,939 LTC",,
,13,"TRON
TRX",$0.07044,0.07%,1.11%,4.78%,"$6,382,564,049","$213,634,430
3,032,681,916 TRX","90,550,664,773 TRX",,
,14,"Binance USD
BUSD",$1.00,0.01%,0.01%,0.02%,"$5,970,831,249","$2,583,952,941
2,582,268,142 BUSD","5,965,614,740 BUSD",,
,15,"Shiba Inu
SHIB",$0.000009882,0.04%,0.64%,4.13%,"$5,825,835,611","$139,156,337
14,082,251,675,145 SHIB","589,539,994,408,589 SHIB",,
,16,"Avalanche
AVAX",$17.20,0.13%,1.01%,2.14%,"$5,681,147,199","$170,123,131
9,897,605 AVAX","330,310,326 AVAX",,
,17,"Dai
DAI",$0.9996,0.03%,0.02%,0.03%,"$4,866,128,201","$145,068,539
145,197,895 DAI","4,867,868,274 DAI",,
,18,"Wrapped Bitcoin
WBTC","$29,426.08",0.11%,0.67%,0.12%,"$4,546,634,213","$189,048,791
6,436 WBTC","154,510 WBTC",,
,19,"Chainlink
LINK",$7.17,0.07%,1.48%,1.41%,"$3,706,018,099","$190,877,195
26,663,027 LINK","517,099,970 LINK",,
,20,"UNUS SED LEO
LEO",$3.58,0.52%,1.47%,0.86%,"$3,330,143,467","$752,513
211,032 LEO","930,453,099 LEO",,
,21,"Uniswap
UNI",$5.52,0.19%,4.12%,1.17%,"$3,185,329,417","$63,511,756
11,520,392 UNI","577,501,036 UNI",,
,22,"Cosmos
ATOM",$11.11,0.22%,0.38%,5.51%,"$3,180,840,552","$76,214,090
6,862,687 ATOM","286,370,297 ATOM",,
,23,"Monero
XMR",$157.79,0.11%,1.28%,2.57%,"$2,883,695,844","$63,933,341
405,184 XMR","18,274,992 XMR",,
,24,"OKB
OKB",$46.21,0.44%,0.97%,3.19%,"$2,772,653,990","$10,595,870
229,297 OKB","60,000,000 OKB",,
,25,"Ethereum Classic
ETC",$19.39,0.22%,0.15%,2.59%,"$2,730,538,626","$94,084,506
4,850,945 ETC","140,795,531 ETC",,
,26,"Toncoin
TON",$2.11,0.10%,0.48%,2.45%,"$2,571,104,935","$9,829,339
4,672,004 TON","1,221,401,181 TON",,
,27,"Stellar
XLM",$0.09382,0.04%,0.40%,1.21%,"$2,512,525,108","$43,693,226
465,914,102 XLM","26,780,069,851 XLM",,
